;;PROVENTOS;;
ELEM.DESPESAS;CLASS.ORC;CLASS.PASS;PROVENTOS;DESCONTOS;SALDO
VENCIMENTO BÁSICO;31.90.11.01;211110101;2723733,33;-295281,82;2428451,51
       dif. vencimento;31.90.11.01;;3064,17
       dif. prevcom normal;2.11.11.01.00;218810111;;-587,86
       dif. prevcom normal - 13º salário;2.11.11.01.00;218810111;;-44,14
       prevcom normal;2.11.11.01.00;218810111;;-142307,96
       prevcom normal - 13º salário;2.11.11.01.00;218810111;;-6696,35
       rpc/iprev - seg. social - fundo capitalizado;2.11.11.01.00;;;-115096,36
       seg. social 13º salário - fundo capitalizado;2.11.11.01.00;;;-6945,47
PENSAO ALIMENTÍCIA;2.11.12.00.00;218810110;11476,09;;11476,09
       pensao alimenticia (1);2.11.12.00.00;;;-11476,09
IRRF SERVIDORES;2.11.13.01.00;218820104;798683,13;;798683,13
       dif. irrf;2.11.13.01.00;;;-397,28
       dif. irrf - 13º salário;2.11.13.01.00;;;-104,55
       irrf;2.11.13.01.00;;;-770205,38
       irrf - 13º salário;2.11.13.01.00;;;-27975,92
OUTRAS CONSIGNAÇÕES;2.11.19.00.00;218810199;309589,12;;309589,12
       afinco;2.11.19.00.00;;;-1425,00
       assecon - amil;2.11.19.00.00;;;-3721,61
       assecon - asbac;2.11.19.00.00;;;-299,00
       assecon - contribuicao;2.11.19.00.00;;;-4668,01
       assecon - descontos diversos;2.11.19.00.00;;;-5639,79
       assefaz - contribuição mensal;2.11.19.00.00;;;-1014,93
       assefaz - fund. assist. serv. mf;2.11.19.00.00;;;-165943,23
       assefaz - seguro de vida;2.11.19.00.00;;;-332,59
       banco alfa - emprestimos;2.11.19.00.00;;;-5166,70
       bb - empréstimo;2.11.19.00.00;;;-39146,19
       bradesco - empréstimos;2.11.19.00.00;;;-21785,25
       brb - emprestimo;2.11.19.00.00;;;-21433,72
       cef/tcdf - emprestimo;2.11.19.00.00;;;-35977,96
       dif. assecon - contribuicao;2.11.19.00.00;;;-14,83
       dif. sindireta-df 0.5% remun.bruta;2.11.19.00.00;;;-0,75
       elo - adm. de planos de saúde;2.11.19.00.00;;;-1627,31
       sindical-sind serv cldf/tcdf;2.11.19.00.00;;;-355,79
       sindireta-df 0.5% remun.bruta;2.11.19.00.00;;;-1036,46
;PROVENTOS;DESCONTOS;SALDO
SUBTOTAIS;1392052,29;0;1392052,29
TOTAL DE PROVENTOS;4461038,37
TOTAL DE DESCONTOS;1688265,42
TOTAL POR FUNDO DE PREVIDÊNCIA;2772772,95
;VALOR EMPREGADOR;VALOR EMPREGADOR 13º;VALOR DEV.EMPREGADOR;VALOR DEV.EMPREGADOR 13º;TOTAL
PATRONAL FUNDO CAPITALIZADO;230.191,56;13.890,87;0,00;0,00;244.082,43
;VLR EMPREGADOR - MÊS DA FOLHA;VLR 13º;DIF.OUTROS MESES;TOTAL
PATRONAL PREVICOM;142307.96;6740.49;587.86;149636.31
